"X","Y","H30_Lusit (TWT)"
528180.01,2261961.01,372.852684
528180.01,2262061.01,367.878128
528180.01,2262161.01,361.982224
528180.01,2262261.01,361.785431
528180.01,2262361.01,361.837753
528180.01,2262461.01,361.509552
528180.01,2262561.01,360.219292
528180.01,2262661.01,360.785004
528180.01,2262761.01,361.794235
528180.01,2262861.01,362.978729
528180.01,2262961.01,365.190674
528180.01,2263061.01,366.49942
528180.01,2263161.01,366.457802
528180.01,2263261.01,366.491081
528180.01,2263361.01,367.891037
528180.01,2263461.01,369.647209
528180.01,2263561.01,370.030579
528180.01,2263661.01,372.040619
528180.01,2263761.01,373.835571
528180.01,2263861.01,374.915825
528180.01,2263961.01,378.228928
528180.01,2264061.01,381.522491
528180.01,2264161.01,381.538818
528180.01,2264261.01,383.09729
528180.01,2264361.01,384.828827
528180.01,2264461.01,386.222305
528180.01,2264561.01,386.152657
528180.01,2264661.01,385.516602
528180.01,2264761.01,384.09079
528180.01,2264861.01,385.014343
528180.01,2264961.01,386.355453
528180.01,2265061.01,387.290726
528180.01,2265161.01,389.647194
528180.01,2265261.01,390.417236
528180.01,2265361.01,389.957634
528180.01,2265461.01,387.220398
528180.01,2265561.01,384.082474
528180.01,2265661.01,382.445648
528180.01,2265761.01,383.210876
528180.01,2265861.01,384.314232
528180.01,2265961.01,385.552017
528180.01,2266061.01,384.798447
528180.01,2266161.01,383.856842
528180.01,2266261.01,383.535942
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,409.03904
528280.01,2261161.01,409.320908
528280.01,2261261.01,411.313812
528280.01,2261361.01,411.167725
528280.01,2261461.01,410.596939
528280.01,2261561.01,411.882782
528280.01,2261661.01,391.677811
528280.01,2261761.01,374.879761
528280.01,2261861.01,373.845169
528280.01,2261961.01,371.867004
528280.01,2262061.01,367.051559
528280.01,2262161.01,360.185608
528280.01,2262261.01,359.665207
528280.01,2262361.01,357.533005
528280.01,2262461.01,356.659729
528280.01,2262561.01,355.151932
528280.01,2262661.01,356.018982
528280.01,2262761.01,358.70929
528280.01,2262861.01,359.34169
528280.01,2262961.01,361.768204
528280.01,2263061.01,363.128555
528280.01,2263161.01,363.142075
