"X","Y","H02_TBeauce (TWT)"
527480.01,2264061.01,-30.992113113
527480.01,2264161.01,-34.562896729
527480.01,2264261.01,-37.148460388
527480.01,2264361.01,-38.206886292
527480.01,2264461.01,-38.064178467
527480.01,2264561.01,-37.586055756
527480.01,2264661.01,-36.35798645
527480.01,2264761.01,-34.816631317
527480.01,2264861.01,-34.859298706
527480.01,2264961.01,-34.426513672
527480.01,2265061.01,-33.25422287
527480.01,2265161.01,-34.315639496
527480.01,2265261.01,-36.618236542
527480.01,2265361.01,-38.111515045
527480.01,2265461.01,-37.390457153
527480.01,2265561.01,-37.303699493
527480.01,2265661.01,-38.322875977
527480.01,2265761.01,-39.15473938
527480.01,2265861.01,-40.004081726
527480.01,2265961.01,-40.861068726
527580.01,2261161.01,-29.366502762
527580.01,2261261.01,-30.322416306
527580.01,2261361.01,-30.678285599
527580.01,2261461.01,-30.795345306
527580.01,2261561.01,-30.672826767
527580.01,2261661.01,-32.023574829
527580.01,2261761.01,-33.996269226
527580.01,2261861.01,-36.272205353
527580.01,2261961.01,-38.104927063
527580.01,2262061.01,-39.381137848
