"X","Y","H80_r3a (TWT)"
528080.01,2261961.01,771.213806
528080.01,2262061.01,769.104736
528080.01,2262161.01,768.180786
528080.01,2262261.01,767.451355
528080.01,2262361.01,766.368271
528080.01,2262461.01,765.485168
528080.01,2262561.01,765.338257
528080.01,2262661.01,766.539246
528080.01,2262761.01,768.694397
528080.01,2262861.01,767.801376
528080.01,2262961.01,769.383087
528080.01,2263061.01,769.704178
528080.01,2263161.01,768.429047
528080.01,2263261.01,767.475403
528080.01,2263361.01,769.686768
528080.01,2263461.01,772.554504
528080.01,2263561.01,772.165192
528080.01,2263661.01,773.905624
528080.01,2263761.01,773.463074
528080.01,2263861.01,771.636078
528080.01,2263961.01,768.007996
528080.01,2264061.01,766.542511
528080.01,2264161.01,761.565445
528080.01,2264261.01,760.917206
528080.01,2264361.01,760.949509
528080.01,2264461.01,760.429871
528080.01,2264561.01,759.486847
528080.01,2264661.01,759.15509
528080.01,2264761.01,759.365753
528080.01,2264861.01,759.618988
528080.01,2264961.01,757.741165
528080.01,2265061.01,753.625916
528080.01,2265161.01,751.963959
528080.01,2265261.01,756.505127
528080.01,2265361.01,761.245148
528080.01,2265461.01,760.056671
528080.01,2265561.01,763.038116
528080.01,2265661.01,762.316437
528080.01,2265761.01,759.365723
528080.01,2265861.01,758.508209
528080.01,2265961.01,758.362976
528080.01,2266061.01,758.456116
528080.01,2266161.01,757.94989
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,798.336243
528180.01,2261161.01,800.431885
528180.01,2261261.01,799.678482
528180.01,2261361.01,798.381989
528180.01,2261461.01,791.853806
528180.01,2261561.01,786.07547
528180.01,2261661.01,784.378021
528180.01,2261761.01,776.979126
528180.01,2261861.01,772.806763
528180.01,2261961.01,771.948425
528180.01,2262061.01,769.214539
528180.01,2262161.01,767.391724
528180.01,2262261.01,766.336853
528180.01,2262361.01,765.430481
528180.01,2262461.01,764.419983
528180.01,2262561.01,763.872971
528180.01,2262661.01,763.965332
528180.01,2262761.01,764.807175
528180.01,2262861.01,764.570435
528180.01,2262961.01,766.716278
528180.01,2263061.01,766.785645
528180.01,2263161.01,765.061478
528180.01,2263261.01,764.190369
528180.01,2263361.01,765.714447
528180.01,2263461.01,765.879379
528180.01,2263561.01,766.322693
528180.01,2263661.01,769.739929
528180.01,2263761.01,770.181763
528180.01,2263861.01,769.062302
528180.01,2263961.01,766.012665
528180.01,2264061.01,763.207779
528180.01,2264161.01,760.221558
528180.01,2264261.01,759.669098
528180.01,2264361.01,760.638245
528180.01,2264461.01,760.031448
528180.01,2264561.01,757.976044
528180.01,2264661.01,758.157349
528180.01,2264761.01,757.80835
528180.01,2264861.01,758.473816
528180.01,2264961.01,757.572571
528180.01,2265061.01,755.616821
528180.01,2265161.01,746.255249
528180.01,2265261.01,748.060455
528180.01,2265361.01,752.7061
528180.01,2265461.01,752.311035
528180.01,2265561.01,754.967529
528180.01,2265661.01,756.17749
528180.01,2265761.01,755.598846
528180.01,2265861.01,754.872345
528180.01,2265961.01,757.043945
528180.01,2266061.01,757.779572
528180.01,2266161.01,757.60675
528180.01,2266261.01,756.691727
528180.01,2266361.01,-9999
528280.01,2260861.01,-9999
528280.01,2260961.01,-9999
528280.01,2261061.01,797.459976
528280.01,2261161.01,796.43512
528280.01,2261261.01,796.305542
528280.01,2261361.01,795.674133
528280.01,2261461.01,795.248779
528280.01,2261561.01,793.495087
528280.01,2261661.01,790.37384
528280.01,2261761.01,789.887421
528280.01,2261861.01,788.787018
528280.01,2261961.01,776.022827
528280.01,2262061.01,768.975311
528280.01,2262161.01,767.934937
528280.01,2262261.01,766.876068
528280.01,2262361.01,765.754501
528280.01,2262461.01,765.346863
528280.01,2262561.01,762.595764
528280.01,2262661.01,760.243652
528280.01,2262761.01,761.25528
528280.01,2262861.01,761.667847
528280.01,2262961.01,763.786331
528280.01,2263061.01,763.517273
528280.01,2263161.01,762.62619
528280.01,2263261.01,762.778076
528280.01,2263361.01,762.563843
528280.01,2263461.01,761.678497
528280.01,2263561.01,762.900574
528280.01,2263661.01,763.990387
528280.01,2263761.01,763.2854
528280.01,2263861.01,763.676208
528280.01,2263961.01,763.50293
528280.01,2264061.01,762.263824
528280.01,2264161.01,760.149078
528280.01,2264261.01,756.719223
528280.01,2264361.01,756.575165
528280.01,2264461.01,756.803009
528280.01,2264561.01,756.945862
528280.01,2264661.01,757.538666
528280.01,2264761.01,757.414978
528280.01,2264861.01,758.611359
528280.01,2264961.01,758.948334
528280.01,2265061.01,757.284363
528280.01,2265161.01,746.293457
528280.01,2265261.01,746.371582
528280.01,2265361.01,747.182602
528280.01,2265461.01,750.038513
528280.01,2265561.01,752.684525
528280.01,2265661.01,754.083435
528280.01,2265761.01,754.441559
528280.01,2265861.01,754.625305
528280.01,2265961.01,755.851044
528280.01,2266061.01,756.41452
528280.01,2266161.01,756.86879
528280.01,2266261.01,756.092804
528280.01,2266361.01,-9999
528280.01,2266461.01,-9999
528380.01,2260861.01,797.726746
528380.01,2260961.01,797.936523
528380.01,2261061.01,798.638611
528380.01,2261161.01,797.489899
528380.01,2261261.01,797.58136
528380.01,2261361.01,796.67775
528380.01,2261461.01,793.621002
528380.01,2261561.01,791.612122
528380.01,2261661.01,787.923523
528380.01,2261761.01,787.355652
528380.01,2261861.01,785.800629
528380.01,2261961.01,777.427002
528380.01,2262061.01,766.040146
528380.01,2262161.01,764.560913
528380.01,2262261.01,764.840393
528380.01,2262361.01,763.797974
528380.01,2262461.01,763.76944
528380.01,2262561.01,761.874176
528380.01,2262661.01,759.164719
528380.01,2262761.01,758.155548
528380.01,2262861.01,758.496216
528380.01,2262961.01,759.159973
528380.01,2263061.01,759.232422
528380.01,2263161.01,758.481186
528380.01,2263261.01,760.034454
528380.01,2263361.01,759.864868
528380.01,2263461.01,758.370361
528380.01,2263561.01,759.21405
528380.01,2263661.01,761.038086
528380.01,2263761.01,761.00946
528380.01,2263861.01,761.214752
528380.01,2263961.01,761.291855
528380.01,2264061.01,757.622009
528380.01,2264161.01,756.860962
528380.01,2264261.01,753.595306
528380.01,2264361.01,751.202454
528380.01,2264461.01,751.753006
528380.01,2264561.01,754.436676
528380.01,2264661.01,756.026871
528380.01,2264761.01,757.602173
528380.01,2264861.01,759.763123
528380.01,2264961.01,759.56842
528380.01,2265061.01,758.178299
528380.01,2265161.01,748.561554
528380.01,2265261.01,746.700226
528380.01,2265361.01,746.910065
528380.01,2265461.01,750.516479
