"X","Y","H60_Charm (TWT)"
528480.01,2261361.01,701.701019
528480.01,2261461.01,699.058411
528480.01,2261561.01,697.845551
528480.01,2261661.01,694.745056
528480.01,2261761.01,690.010757
528480.01,2261861.01,687.683533
528480.01,2261961.01,686.862427
528480.01,2262061.01,685.806458
528480.01,2262161.01,686.202972
528480.01,2262261.01,684.682526
528480.01,2262361.01,682.625458
528480.01,2262461.01,681.706085
528480.01,2262561.01,677.108704
528480.01,2262661.01,671.980835
528480.01,2262761.01,669.963257
528480.01,2262861.01,664.399124
528480.01,2262961.01,664.467285
528480.01,2263061.01,665.971481
528480.01,2263161.01,665.142883
528480.01,2263261.01,667.297668
528480.01,2263361.01,668.695526
528480.01,2263461.01,668.871521
528480.01,2263561.01,670.469467
528480.01,2263661.01,672.857452
528480.01,2263761.01,673.219818
528480.01,2263861.01,673.786377
528480.01,2263961.01,673.685211
528480.01,2264061.01,672.777374
528480.01,2264161.01,672.818008
528480.01,2264261.01,671.449158
528480.01,2264361.01,670.743927
528480.01,2264461.01,670.703278
528480.01,2264561.01,673.467285
528480.01,2264661.01,677.89743
