"X","Y","H50_Aal (TWT)"
528080.01,2263661.01,635.474869
528080.01,2263761.01,636.41217
528080.01,2263861.01,635.537323
528080.01,2263961.01,634.25824
528080.01,2264061.01,633.059387
528080.01,2264161.01,632.088379
528080.01,2264261.01,632.525848
528080.01,2264361.01,631.266022
528080.01,2264461.01,631.65918
528080.01,2264561.01,632.769073
528080.01,2264661.01,634.447327
528080.01,2264761.01,636.337799
528080.01,2264861.01,636.379913
528080.01,2264961.01,637.312424
528080.01,2265061.01,638.280884
528080.01,2265161.01,634.137726
528080.01,2265261.01,632.165588
528080.01,2265361.01,635.10434
528080.01,2265461.01,635.163193
528080.01,2265561.01,638.050201
528080.01,2265661.01,639.720032
528080.01,2265761.01,639.505188
528080.01,2265861.01,639.674927
528080.01,2265961.01,640.671753
528080.01,2266061.01,640.671005
528080.01,2266161.01,641.086761
528080.01,2266261.01,-9999
528080.01,2266361.01,-9999
528180.01,2260961.01,-9999
528180.01,2261061.01,652.899719
528180.01,2261161.01,652.233276
528180.01,2261261.01,651.52504
528180.01,2261361.01,650.593628
528180.01,2261461.01,650.965973
528180.01,2261561.01,651.540741
528180.01,2261661.01,650.341278
528180.01,2261761.01,643.180603
528180.01,2261861.01,634.431976
528180.01,2261961.01,632.082886
528180.01,2262061.01,629.14032
528180.01,2262161.01,627.338013
528180.01,2262261.01,626.910339
528180.01,2262361.01,626.099518
528180.01,2262461.01,625.347717
528180.01,2262561.01,624.457657
528180.01,2262661.01,623.5466
528180.01,2262761.01,623.425461
528180.01,2262861.01,622.970581
528180.01,2262961.01,624.363281
528180.01,2263061.01,626.566101
528180.01,2263161.01,626.943893
528180.01,2263261.01,626.881699
528180.01,2263361.01,628.533173
528180.01,2263461.01,630.425339
528180.01,2263561.01,630.78186
528180.01,2263661.01,632.063293
528180.01,2263761.01,632.677734
528180.01,2263861.01,632.667725
528180.01,2263961.01,632.726288
528180.01,2264061.01,632.527786
528180.01,2264161.01,632.045715
528180.01,2264261.01,632.403717
528180.01,2264361.01,631.555298
528180.01,2264461.01,631.210312
528180.01,2264561.01,631.32106
528180.01,2264661.01,633.660095
528180.01,2264761.01,634.714661
528180.01,2264861.01,635.418152
