"X","Y","H30_Lusit (Depth)"
527980.01,2261361.01,384.595733643
527980.01,2261461.01,385.344177246
527980.01,2261561.01,386.417663574
527980.01,2261661.01,387.623077393
527980.01,2261761.01,389.285980225
527980.01,2261861.01,390.317352295
527980.01,2261961.01,390.741333008
527980.01,2262061.01,389.642364502
527980.01,2262161.01,381.878631592
527980.01,2262261.01,379.094909668
527980.01,2262361.01,381.338562012
527980.01,2262461.01,381.511810303
527980.01,2262561.01,381.550567627
527980.01,2262661.01,381.565002441
527980.01,2262761.01,382.230926514
527980.01,2262861.01,383.798400879
527980.01,2262961.01,383.823608398
527980.01,2263061.01,385.690429688
527980.01,2263161.01,387.450408936
527980.01,2263261.01,386.914886475
527980.01,2263361.01,387.232269287
527980.01,2263461.01,387.885772705
527980.01,2263561.01,388.14175415
527980.01,2263661.01,390.018615723
527980.01,2263761.01,391.895843506
527980.01,2263861.01,392.165863037
527980.01,2263961.01,394.19833374
527980.01,2264061.01,397.853668213
527980.01,2264161.01,400.552001953
527980.01,2264261.01,403.399810791
527980.01,2264361.01,407.152526855
527980.01,2264461.01,412.803070068
527980.01,2264561.01,397.505187988
527980.01,2264661.01,397.505187988
527980.01,2264761.01,431.790893555
527980.01,2264861.01,396.983337402
527980.01,2264961.01,396.983337402
527980.01,2265061.01,400.054016113
527980.01,2265161.01,402.282440186
527980.01,2265261.01,399.175170898
527980.01,2265361.01,392.687866211
527980.01,2265461.01,394.618164063
527980.01,2265561.01,392.687866211
527980.01,2265661.01,392.687866211
527980.01,2265761.01,394.012329102
527980.01,2265861.01,396.606567383
527980.01,2265961.01,398.141876221
527980.01,2266061.01,398.576507568
527980.01,2266161.01,398.848388672
527980.01,2266261.01,-9999
528080.01,2260961.01,-9999
528080.01,2261061.01,401.245422363
528080.01,2261161.01,390.655517578
528080.01,2261261.01,384.505279541
528080.01,2261361.01,384.505279541
528080.01,2261461.01,384.505279541
528080.01,2261561.01,385.348144531
528080.01,2261661.01,386.158935547
528080.01,2261761.01,387.58013916
528080.01,2261861.01,392.075836182
528080.01,2261961.01,392.17086792
528080.01,2262061.01,389.915893555
528080.01,2262161.01,380.791473389
528080.01,2262261.01,379.893432617
528080.01,2262361.01,381.487548828
528080.01,2262461.01,380.727203369
528080.01,2262561.01,379.129516602
528080.01,2262661.01,379.449554443
528080.01,2262761.01,379.480255127
528080.01,2262861.01,380.50592041
528080.01,2262961.01,381.681640625
528080.01,2263061.01,383.040893555
528080.01,2263161.01,384.937896729
528080.01,2263261.01,384.537689209
528080.01,2263361.01,385.458892822
528080.01,2263461.01,386.716430664
528080.01,2263561.01,386.875274658
528080.01,2263661.01,389.566314697
528080.01,2263761.01,391.082458496
528080.01,2263861.01,391.249267578
528080.01,2263961.01,394.33013916
528080.01,2264061.01,398.761657715
528080.01,2264161.01,399.25958252
528080.01,2264261.01,401.388153076
528080.01,2264361.01,401.944274902
528080.01,2264461.01,404.190368652
528080.01,2264561.01,399.431854248
528080.01,2264661.01,396.983337402
528080.01,2264761.01,396.983337402
528080.01,2264861.01,397.163238525
528080.01,2264961.01,398.517272949
528080.01,2265061.01,400.26083374
528080.01,2265161.01,403.040557861
528080.01,2265261.01,403.295654297
528080.01,2265361.01,405.89263916
528080.01,2265461.01,405.185211182
