"X","Y","H60_Charm (Depth)"
528380.01,2261761.01,960.54486084
528380.01,2261861.01,946.364624023
528380.01,2261961.01,942.152282715
528380.01,2262061.01,940.307617188
528380.01,2262161.01,940.307617188
528380.01,2262261.01,960.161865234
528380.01,2262361.01,960.582275391
528380.01,2262461.01,960.161865234
528380.01,2262561.01,960.161865234
528380.01,2262661.01,954.432495117
528380.01,2262761.01,958.432556152
528380.01,2262861.01,951.970397949
528380.01,2262961.01,951.636230469
528380.01,2263061.01,954.470214844
528380.01,2263161.01,956.694213867
528380.01,2263261.01,959.29473877
528380.01,2263361.01,959.751098633
528380.01,2263461.01,959.401916504
528380.01,2263561.01,959.52142334
528380.01,2263661.01,961.740966797
528380.01,2263761.01,961.681152344
528380.01,2263861.01,961.389770508
528380.01,2263961.01,959.874206543
528380.01,2264061.01,955.136657715
528380.01,2264161.01,951.391296387
528380.01,2264261.01,947.768493652
528380.01,2264361.01,945.046081543
528380.01,2264461.01,944.650390625
528380.01,2264561.01,948.519104004
528380.01,2264661.01,953.086608887
528380.01,2264761.01,953.996643066
528380.01,2264861.01,956.390930176
528380.01,2264961.01,956.993713379
528380.01,2265061.01,955.853210449
528380.01,2265161.01,955.266418457
528380.01,2265261.01,943.346313477
528380.01,2265361.01,944.710388184
528380.01,2265461.01,950.805358887
528380.01,2265561.01,955.172058105
